benchmark,,IPC private,IPC private-ideal,IPC shared,IPC shared-h1,IPC mgvm,,PW Latency private,PW Latency private-ideal,PW Latency shared,PW Latency shared-h1,PW Latency mgvm,,L2 TLB Local Hits private,L2 TLB Local Hits private-ideal,L2 TLB Local Hits shared,L2 TLB Local Hits shared-h1,L2 TLB Local Hits mgvm,,L2 TLB Remote Hits private,L2 TLB Remote Hits private-ideal,L2 TLB Remote Hits shared,L2 TLB Remote Hits shared-h1,L2 TLB Remote Hits mgvm,,PW Acccess Local Hits private,PW Acccess Local Hits private-ideal,PW Acccess Local Hits shared,PW Acccess Local Hits shared-h1,PW Acccess Local Hits mgvm,,PW Acccess Remote Hits private,PW Acccess Remote Hits private-ideal,PW Acccess Remote Hits shared,PW Acccess Remote Hits shared-h1,PW Acccess Remote Hits mgvm
convolution2d,,1.0,1.0275708221179547,0.8959503730993151,0.9848729810273187,0.9988799270417452,,1.0,0.0,1.7459739196287511,1.2790051768122814,,1.0,1.0,0.2670686996135831,0.2519820286712433,,0.0,0.0,0.7329313003864169,0.7480179713287567,,0.9935827582031723,nan,0.24997925702432586,0.25007734973399237,,0.006417241796827703,nan,0.7500207429756741,0.7499226502660076
fastwalshtransform,,1.0,1.0196946169772256,0.9782101360521699,0.9978894582661478,0.9967618710313948,,1.0,0.0,1.3258999035839272,1.1384983426837822,,1.0,1.0,0.2722107438016529,0.2280415257202846,,0.0,0.0,0.7277892561983471,0.7719584742797154,,0.9931647713525285,nan,0.2503011322572874,0.2507083006811743,,0.00683522864747157,nan,0.7496988677427125,0.7492916993188258
gups,,1.0,3.842052144042044,1.4011132703756048,2.424324599715621,2.3049927303872746,,1.0,0.0,1.0223354812654242,0.5602103621831153,,1.0,1.0,0.24904664599631823,0.25089456835213825,,0.0,0.0,0.7509533540036818,0.7491054316478617,,0.25092147834635015,nan,0.25215403429337974,0.2508831608482273,,0.7490785216536499,nan,0.7478459657066202,0.7491168391517727
jacobi1d,,1.0,1.107819175980519,0.8615403647429064,0.9765871954959346,1.0030056020222198,,1.0,0.0,1.2878666238597405,1.092151355801105,,1.0,1.0,0.2882424330247976,0.22980042092238345,,0.0,0.0,0.7117575669752024,0.7701995790776165,,0.9843660586385007,nan,0.24917712212925713,0.24992808281870518,,0.015633941361499364,nan,0.7508228778707429,0.7500719171812948
jacobi2d,,1.0,1.1077568174495935,0.8648940883185535,0.973598461635991,1.0019005701710513,,1.0,0.0,1.3202083884878657,1.1094304071085017,,1.0,1.0,0.27153471103914334,0.24251727714602847,,0.0,0.0,0.7284652889608567,0.7574827228539716,,0.994890920392353,nan,0.24928388136301247,0.25000746380056726,,0.005109079607646943,nan,0.7507161186369875,0.7499925361994327
kmeans,,1.0,1.2232879779516204,0.7798530402906317,0.9826021187863908,1.005657789582799,,1.0,0.0,1.2976133440015825,0.9072727485761559,,1.0,1.0,0.26680132664290396,0.25735176094105155,,0.0,0.0,0.7331986733570961,0.7426482390589485,,0.5590749431967827,nan,0.2501617231632813,0.25007363048989273,,0.44092505680321725,nan,0.7498382768367188,0.7499263695101073
matrixtranspose,,1.0,5.488940628637951,0.8687507677189534,1.7623296467386096,1.6946832923221544,,1.0,0.0,1.2864077703949621,0.649915723289209,,1.0,1.0,0.25120611228166906,0.24966485353714346,,0.0,0.0,0.7487938877183309,0.7503351464628565,,0.5367438890695966,nan,0.25205934087816534,0.25057603686635943,,0.4632561109304035,nan,0.7479406591218346,0.7494239631336406
mis,,1.0,6.537046645463583,5.054673024564885,5.408388166518115,4.90611753515056,,1.0,0.0,3.4974093942195514,2.89399748881277,,1.0,1.0,0.2519816886736322,0.2513062902065883,,0.0,0.0,0.7480183113263679,0.7486937097934118,,0.3411779057333062,nan,0.2525229617870507,0.2516408944265213,,0.6588220942666938,nan,0.7474770382129493,0.7483591055734787
pagerank,,1.0,2.698308286643313,0.32380658811230184,0.6503468099219576,1.161431757522577,,1.0,0.0,3.031785892815289,1.542074202511508,,1.0,1.0,0.27262817296212344,0.2632845830774083,,0.0,0.0,0.7273718270378765,0.7367154169225917,,0.9324548070894779,nan,0.2484294488447354,0.24956280051853474,,0.06754519291052204,nan,0.7515705511552646,0.7504371994814653
simpleconvolution,,1.0,1.0005925684568304,0.9994761646959468,1.0001202670780582,0.9999680755460278,,1.0,0.0,1.7941798318320352,1.240301739638301,,1.0,1.0,0.25497139272392644,0.24246706189221146,,0.0,0.0,0.7450286072760736,0.7575329381077885,,0.9904508323464855,nan,0.24984185317950416,0.2500941704711537,,0.009549167653514561,nan,0.7501581468204959,0.7499058295288463
shoc-reduction,,1.0,1.5828303724247186,1.0309284077108896,1.299643476441697,1.1724493280925805,,1.0,0.0,0.8796882757594127,0.7820436824731106,,1.0,1.0,0.32091097308488614,0.25892857142857145,,0.0,0.0,0.6790890269151139,0.7410714285714286,,0.24841146926428231,nan,0.2501637246414995,0.25010899469308595,,0.7515885307357177,nan,0.7498362753585005,0.749891005306914
spmv,,1.0,5.263673384736873,2.659256349837361,4.004553727645284,4.166747863988528,,1.0,0.0,1.3677574249499915,0.9027116909289119,,1.0,1.0,0.2501613150143264,0.24998309676287989,,0.0,0.0,0.7498386849856736,0.7500169032371201,,0.3440605971859275,nan,0.25155046907607465,0.25003619413064077,,0.6559394028140725,nan,0.7484495309239253,0.7499638058693592
stencil2d,,1.0,1.4392250823625845,0.8737777203572513,1.1653817680545273,1.186076722222944,,1.0,0.0,1.428647564729202,0.9478133214026245,,1.0,1.0,0.25027737428740354,0.24878264349798218,,0.0,0.0,0.7497226257125964,0.7512173565020178,,0.6020279426195038,nan,0.25107852009327225,0.24921533528347378,,0.39797205738049624,nan,0.7489214799067277,0.7507846647165263
syrk,,1.0,2.0964988313117776,1.964406925090327,1.8799481948692431,1.969032125114745,,1.0,0.0,1.9059852023018682,1.738278718091643,,1.0,1.0,0.2663504760935556,0.25663745207270616,,0.0,0.0,0.7336495239064443,0.7433625479272938,,0.7904005543716583,nan,0.2536820371644873,0.26010299425709016,,0.20959944562834165,nan,0.7463179628355128,0.7398970057429098
syr2k,,1.0,2.6353758964291467,2.2031560585121133,2.456241075957267,2.204251609229302,,1.0,0.0,1.376081941381863,1.3711412487331414,,1.0,1.0,0.25748308834878186,0.254666557434503,,0.0,0.0,0.7425169116512181,0.745333442565497,,0.5265624853979878,nan,0.27404521794219683,0.266972828166858,,0.4734375146020122,nan,0.7259547820578032,0.733027171833142
