benchmark,,kernel_time,private,private-ideal,shared,xortlb-ideal1,mgvm,,l2-tlb-mpki,private,private-ideal,shared,xortlb-ideal1,mgvm,,mmu-pw-lat,private,private-ideal,shared,xortlb-ideal1,mgvm,,pw_local_num,private,private-ideal,shared,xortlb-ideal1,mgvm,,pw_remote_num,private,private-ideal,shared,xortlb-ideal1,mgvm,,local-TLBHit-num-total,private,private-ideal,shared,xortlb-ideal1,mgvm,,remote-TLBHit-num-total,private,private-ideal,shared,xortlb-ideal1,mgvm
convolution2d,,,0.000878422,0.000854853,0.000980436,0.000891914,0.000879407,,,1.0687347151275375,0.0,1.068661355564737,1.068661355564737,1.068661355564737,,,81.17246156075535,0.0,141.72500087714616,103.81999855080201,81.06253571510292,,,131296,0,33141,33139,131338,,,848,0,99434,99376,840,,,8859709.0,9137105.0,2073355.0,2154911.0,8872872.0,,,0,0,5690022.0,6396933.0,1799.0
fastwalshtransform,,,0.000118203,0.00011592,0.000120836,0.000118453,0.000118587,,,2.2760564630681817,0.0,2.2735595703125,2.2735595703125,2.2735595703125,,,170.18250000000003,0.0,225.64496034167175,193.75249420378282,168.3224380719951,,,16419,0,4156,4159,16424,,,113,0,12448,12430,181,,,9261.0,32797.0,2108.0,1955.0,9396.0,,,0,0,5636.0,6618.0,96.0
gups,,,0.003140601,0.000817428,0.002241504,0.001295454,0.001362521,,,698.3267812548775,0.0,480.8214526104261,465.5153177189012,513.2703976119869,,,83.69735693082706,0.0,85.56677767852106,46.8881266399881,37.27403323822669,,,574832,0,397745,383145,1683743,,,1716052,0,1179644,1144040,144,,,312023.0,2639276.0,245950.0,260902.0,226864.0,,,0,0,741616.0,778985.0,681845.0
jacobi1d,,,0.000745179,0.000672654,0.000864938,0.000763044,0.000742946,,,3.205495002942208,0.0,3.205238244472406,3.205238244472406,3.205238244472406,,,149.83500198341557,0.0,192.96749814039893,163.64250056264854,149.15496114864223,,,263187,0,66770,66898,263169,,,4180,0,201192,200771,4239,,,392073.0,1107536.0,79565.0,83202.0,397171.0,,,0,0,196470.0,278860.0,96.0
jacobi2d,,,0.000230368,0.000207959,0.000266354,0.000236615,0.000229931,,,2.155961661503233,0.0,2.154975101865571,2.154975101865571,2.154975101865571,,,137.69227425259302,0.0,181.78249549824508,152.75999587974974,136.56265527239432,,,65624,0,16709,16748,65619,,,337,0,50319,50242,339,,,1203650.0,1693524.0,304691.0,280106.0,1201589.0,,,0,0,817416.0,874888.0,540.0
kmeans,,,0.002846448,0.002326883,0.00364998,0.002896847,0.002830434,,,11.240574768725294,0.0,10.388801647787744,12.538655289621978,21.877043475962637,,,143.23086847795307,0.0,185.85828620992754,129.94946372494238,60.98628963395105,,,694129,0,315171,367653,2357459,,,547438,0,944698,1102526,230,,,3033164.0,5338574.0,910868.0,787229.0,634237.0,,,0,0,2503163.0,2271732.0,1970416.0
matrixtranspose,,,0.000183885,3.3501e-05,0.000211666,0.000104342,0.000108507,,,69.31043651005993,0.0,62.87917045697775,60.15307282748287,68.5199058219178,,,67.7738443861395,0.0,87.18480004786883,44.04728709430815,36.96564861138227,,,89107,0,37974,36105,163939,,,76907,0,112681,107983,229,,,236288.0,436131.0,63785.0,64810.0,133988.0,,,0,0,190130.0,194778.0,110975.0
mis,,,0.001650467,0.000252479,0.000326523,0.000305168,0.00033641,,,260.11161670687716,0.0,2.1992260219221267,2.2424388397266686,8.594372884392657,,,78.86359251398045,0.0,275.81826932029793,228.231038694213,78.59172583239027,,,346807,0,2227,2262,30051,,,669692,0,6592,6727,3837,,,1386467.0,2574498.0,640766.0,639140.0,710842.0,,,0,0,1902141.0,1904131.0,1803811.0
pagerank,,,0.000794158,0.000294317,0.002452569,0.00122113,0.000683775,,,91.33013598688346,0.0,90.33586227492025,89.66728558551407,90.83759548824999,,,44.18327591056308,0.0,133.95423260401074,68.13388996412749,38.02921281960583,,,1002443,0,417911,416985,1057795,,,72615,0,1264301,1253877,512,,,40769.0,1113161.0,15756.0,15860.0,41958.0,,,0,0,42037.0,44379.0,17559.0
simpleconvolution,,,0.001879377,0.001878264,0.001880362,0.001879151,0.001879437,,,0.40481678495848195,0.0,0.4047797330515083,0.4047797330515083,0.4047797330515083,,,72.69198866583274,0.0,130.42249999999999,90.16,69.58951775797888,,,131311,0,33176,33197,131378,,,1266,0,99612,99541,1135,,,1603205.0,1886402.0,368233.0,356397.0,1609461.0,,,0,0,1075980.0,1113481.0,962.0
shoc-reduction,,,0.00296948,0.001876057,0.002880394,0.002284842,0.002532715,,,6.019133465558676,0.0,5.93027948287344,5.930234241538061,5.930234241538061,,,219.3931676500432,0.0,192.99759736346226,171.5750407384803,130.82074824534635,,,34325,0,33233,33273,131571,,,103853,0,99612,99761,1187,,,5132.0,262368.0,155.0,290.0,718.0,,,0,0,328.0,830.0,1778.0
spmv,,,0.046039293,0.008746609,0.017312845,0.011496735,0.011049215,,,1531.4686572541261,0.0,422.71957193409025,423.1456173953883,450.94990409340096,,,81.54000164009713,0.0,111.52694267367734,73.60711275887833,58.61813169128781,,,12215695,0,2534456,2521492,10454523,,,23288792,0,7540882,7563016,475,,,9967525.0,46757908.0,8575718.0,8570264.0,8673639.0,,,0,0,25705034.0,25713110.0,25915181.0
stencil2d,,,0.000365212,0.000253756,0.000417969,0.000313384,0.000307916,,,11.90454987046632,0.0,10.557652606865284,10.420326667746114,12.33099902849741,,,76.41751181611072,0.0,109.1736921587516,72.4295356877522,53.71532117357406,,,141724,0,52438,51373,243724,,,93687,0,156413,154766,183,,,578358.0,914702.0,137151.0,149185.0,584893.0,,,0,0,410845.0,450475.0,18197.0
syrk,,,0.002312325,0.001102946,0.001177111,0.001229994,0.001174346,,,201.46042014604203,0.0,53.02960530296053,57.64720576472058,53.06920530692053,,,72.34366497336448,0.0,137.88595491951668,125.75345321195131,136.60082556360373,,,1592288,0,134539,149959,139656,,,422245,0,395806,426578,391052,,,5243281.0,9972913.0,1989124.0,2143697.0,2031781.0,,,0,0,5478946.0,6209320.0,5450415.0
syr2k,,,0.006808715,0.002583584,0.003090437,0.002772006,0.003088901,,,178.34570594485686,0.0,54.71810182393673,50.51660168388672,54.918335163944505,,,80.3040600698531,0.0,110.50496688176919,110.10820920251956,112.8443435464781,,,2817262,0,449874,404608,424924,,,2533028,0,1191731,1110932,1222789,,,27387316.0,39509956.0,8870081.0,9394087.0,8843445.0,,,0,0,25579098.0,27493705.0,25498389.0
